,subject_no,Trial_Index_,block,text,block_sequence,block_name,block_num,path,image,trialID,label,category,number,lastBlockType
48,2,49,2,white shirt long hair,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/002ET1,362.jpg,49,human,person,,
0,3,1,2,"height,leg",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,59.jpg,1,human,person,,
1,3,2,2,"2 les, head, 2arms",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,558.jpg,2,human,person,,
2,3,3,2,head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,875.jpg,3,human,person,,
3,3,4,2,"arms, legs, height",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,348.jpg,4,human,person,,
4,3,5,2,"2 legs, 2 arms, cloth",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,608.jpg,5,human,person,,
5,3,6,2,"height, 2 legs",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,422.jpg,6,human,person,,
6,3,7,2,"legs,cloth",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,34.jpg,7,human,person,,
7,3,8,2,"2 legs, head, height, cloth",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,411.jpg,8,human,person,,
8,3,9,2,"head, cloth",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,270.jpg,9,human,person,,
9,3,10,2,"height, 2 legs",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,324.jpg,10,human,person,,
10,3,11,2,height,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,129.jpg,11,human,person,,
11,3,12,2,"cloth, height",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,748.jpg,12,human,person,,
12,3,13,2,"cloth, height, head",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,845.jpg,13,human,person,,
13,3,14,2,"cloth, 2 arms, 2 legs",2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,808.jpg,14,human,person,,
14,3,15,2,head,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,452.jpg,15,human,person,,
15,3,16,2,2 legs. head. height,2,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/003ET1,488.jpg,16,human,person,,
